np,time,n
1,4.524e+00,10.0e+08
2,5.527e+00,10.0e+08
4,6.540e+00,10.0e+08
8,8.902e+00,10.0e+08
16,1.336e+01,10.0e+08
24,2.109e+01,10.0e+08
